#         t          x          y          z         vx         vy         vz
      0.000   -476.250    491.430   -412.420     44.340    101.220    141.390
      0.071   -472.890    498.930   -402.010     50.120    107.170    147.800
      0.143   -469.180    506.710   -391.380     58.020    111.730    151.010
      0.214   -464.840    514.930   -380.330     63.630    116.210    160.090
      0.286   -460.030    523.460   -368.470     72.270    124.960    171.100
      0.357   -454.430    532.540   -355.730     82.680    129.030    183.840
      0.429   -448.030    541.940   -342.340     94.750    133.400    191.160
      0.500   -440.780    551.460   -328.410    107.370    134.080    200.580
      0.571   -432.370    561.190   -313.650    130.800    138.140    212.260
      0.643   -422.260    570.940   -298.090    153.990    135.580    225.410
      0.714   -410.460    580.390   -281.630    178.990    127.220    236.460
      0.786   -396.760    588.940   -264.540    206.310    112.790    241.550
      0.857   -380.960    596.330   -247.030    237.730     93.210    246.690
      0.929   -362.910    601.840   -229.360    265.180     60.810    247.720
      1.000   -343.390    605.150   -212.060    279.320     31.320    237.270
      1.071   -323.170    606.330   -195.630    286.860      1.920    220.580
      1.143   -302.690    605.490   -180.460    286.500    -25.060    204.070
      1.214   -282.370    602.780   -166.510    281.220    -52.080    188.100
      1.286   -262.560    598.400   -153.520    273.300    -68.560    176.580
      1.357   -243.340    592.960   -141.410    263.410    -81.630    163.820
      1.429   -224.760    586.580   -130.150    255.680    -97.030    149.650
      1.500   -206.960    579.260   -119.880    243.950   -107.290    138.180
      1.571   -189.860    571.290   -110.360    236.130   -116.020    129.740
      1.643   -173.310    562.800   -101.460    226.570   -121.630    120.480
      1.714   -157.450    553.800    -93.100    217.750   -131.120    113.580
      1.786   -142.250    544.270    -85.330    208.030   -135.620    104.700
      1.857   -127.700    534.390    -78.130    200.150   -142.040     97.210
      1.929   -113.730    524.070    -71.450    191.400   -147.290     90.740
      2.000   -100.350    513.300    -65.150    183.370   -154.000     85.240
      2.071    -87.650    502.100    -59.280    171.790   -157.810     79.140
      2.143    -75.570    490.800    -53.840    167.730   -158.290     72.690
      2.214    -63.980    479.350    -48.920    156.480   -162.070     68.070
      2.286    -52.970    467.600    -44.190    151.550   -165.820     63.750
      2.357    -42.390    455.620    -39.880    145.210   -169.640     58.700
      2.429    -32.380    443.400    -35.720    136.430   -171.140     56.450
      2.500    -23.070    431.110    -31.770    125.530   -175.880     53.640
      2.571    -14.330    418.440    -28.190    117.840   -179.970     45.560
      2.643     -6.200    405.450    -24.970    109.840   -185.200     43.790
      2.714      1.370    392.090    -22.020    103.000   -186.630     37.940
      2.786      8.530    378.690    -19.480     98.370   -189.840     33.840
      2.857     15.150    364.870    -17.120     88.120   -196.560     29.940
      2.929     21.030    350.720    -15.110     77.670   -200.240     25.220
      3.000     26.220    336.300    -13.480     68.520   -203.590     22.210
      3.071     30.730    321.590    -11.960     57.240   -208.830     18.700
      3.143     34.530    306.530    -10.720     47.650   -213.640     15.200
      3.214     37.560    291.130     -9.880     36.070   -218.620      8.850
      3.286     39.570    275.310     -9.480     21.460   -222.900      3.880
      3.357     40.530    259.240     -9.350      5.760   -227.870     -0.210
      3.429     40.210    242.810     -9.540    -13.900   -231.280     -6.230
      3.500     38.610    226.040    -10.310    -31.260   -237.900    -13.850
      3.571     35.590    208.800    -11.540    -53.660   -244.330    -20.130
      3.643     30.850    191.190    -13.340    -79.500   -246.340    -32.970
      3.714     23.920    173.660    -16.020   -114.540   -243.020    -43.370
      3.786     14.500    156.620    -19.630   -151.500   -232.330    -56.600
      3.857      2.410    140.750    -24.250   -187.640   -210.100    -71.500
      3.929    -12.140    126.700    -29.660   -220.870   -179.010    -81.110
      4.000    -28.800    115.680    -35.660   -247.190   -128.830    -83.950
      4.071    -46.970    108.450    -41.540   -257.500    -70.840    -79.300
      4.143    -65.210    105.850    -46.870   -250.200     -2.360    -66.310
      4.214    -82.110    108.240    -50.970   -219.180     67.860    -48.820
      4.286    -96.080    115.250    -53.690   -166.610    123.500    -28.270
      4.357   -105.740    125.340    -54.970   -104.260    155.200     -8.280
      4.429   -111.100    137.020    -55.020    -46.970    168.810      6.280
      4.500   -112.650    149.090    -54.160      0.820    169.320     15.440
      4.571   -111.140    161.070    -52.680     39.010    165.360     24.920
      4.643   -107.070    172.660    -50.620     71.900    159.830     30.780
      4.714   -100.830    183.820    -48.140    101.160    152.980     37.870
      4.786    -92.700    194.460    -45.030    126.410    145.480     48.050
      4.857    -82.900    204.520    -41.140    148.240    137.440     59.900
      4.929    -71.640    214.040    -36.430    166.490    130.370     71.920
      5.000    -59.140    223.010    -30.820    184.380    124.280     86.360
      5.071    -45.310    231.730    -23.980    205.060    120.890    106.340
      5.143    -29.860    240.070    -15.150    230.960    114.270    145.210
      5.214    -12.570    247.460     -2.640    255.200     86.280    213.520
      5.286      5.240    250.730     15.220    232.340     -5.260    277.390
      5.357     19.940    247.390     34.590    180.130    -80.510    258.780
      5.429     31.360    240.430     51.670    142.350   -112.740    221.190
      5.500     40.620    231.810     66.120    117.350   -131.970    184.230
      5.571     48.310    222.080     78.280     95.480   -142.050    155.190
      5.643     54.600    211.720     88.310     78.640   -150.090    126.520
      5.714     59.770    200.800     96.580     62.820   -158.400    104.180
      5.786     63.850    189.410    103.180     48.890   -161.850     81.530
      5.857     66.940    177.700    108.100     33.980   -168.740     59.130
      5.929     68.960    165.780    111.410     19.950   -166.950     36.040
      6.000     70.080    153.830    113.160      8.690   -168.470     10.200
      6.071     70.340    141.960    113.300     -2.940   -165.040    -11.140
      6.143     69.680    130.220    111.750    -19.250   -161.040    -37.120
      6.214     67.940    118.890    108.230    -31.090   -153.970    -64.860
      6.286     65.260    108.270    102.670    -48.390   -141.700    -97.870
      6.357     60.240     98.080     94.150    -63.420   -125.300   -129.770
      6.429     55.250     89.900     83.690    -75.770   -103.060   -164.900
      6.500     49.320     83.600     70.720    -90.330    -72.270   -196.920
      6.571     42.320     80.000     55.460   -102.810    -25.680   -229.890
      6.643     34.770     80.220     38.140   -108.530     34.650   -253.680
      6.714     27.120     85.580     19.850   -100.240    115.030   -253.530
      6.786     20.860     96.590      2.920    -75.440    185.510   -216.830
      6.857     16.640    111.360    -10.510    -39.950    224.770   -152.330
      6.929     14.970    127.690    -19.100     -9.700    230.240    -88.240
      7.000     15.510    143.850    -23.450     20.350    216.300    -36.820
      7.071     17.620    158.530    -24.600     40.140    195.120      3.540
      7.143     21.040    171.630    -23.230     55.440    171.560     35.760
      7.214     25.400    182.930    -19.740     65.350    145.700     62.910
      7.286     30.500    192.380    -14.340     77.330    120.280     86.570
      7.357     36.350    199.910     -7.580     85.790     90.090    104.550
      7.429     42.700    205.410      0.470     93.560     64.990    122.890
      7.500     49.560    208.950      9.670     99.400     33.360    134.080
      7.571     56.760    210.260     19.660    103.320      2.620    143.300
      7.643     64.170    209.310     30.250    102.180    -29.720    153.230
      7.714     71.590    205.980     41.480    102.600    -64.380    161.560
      7.786     78.990    200.140     53.100    105.380   -101.070    163.990
      7.857     86.380    191.570     64.730    101.890   -139.700    161.950
      7.929     93.630    179.900     76.160     97.520   -186.360    155.870
      8.000    100.340    165.020     86.930     89.600   -231.870    143.540
      8.071    106.120    146.580     96.290     70.670   -283.500    116.230
      8.143    110.390    124.740    103.040     45.920   -328.090     67.370
      8.214    112.420    100.300    105.380      8.830   -351.920     -6.090
