#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -28.430    173.920     93.230
      0.001    -98.588   -119.816   -127.667    -28.361    173.999     93.317
      0.002    -98.617   -119.642   -127.573    -28.291    174.078     93.404
      0.003    -98.645   -119.468   -127.480    -28.221    174.157     93.491
      0.004    -98.673   -119.294   -127.386    -28.151    174.236     93.578
      0.005    -98.701   -119.119   -127.293    -28.081    174.316     93.666
      0.006    -98.729   -118.945   -127.199    -28.011    174.395     93.753
      0.007    -98.757   -118.771   -127.105    -27.941    174.474     93.841
      0.008    -98.785   -118.596   -127.011    -27.870    174.554     93.928
      0.009    -98.813   -118.422   -126.917    -27.799    174.633     94.016
      0.010    -98.841   -118.247   -126.823    -27.728    174.712     94.104
      0.011    -98.868   -118.072   -126.729    -27.657    174.792     94.192
      0.012    -98.896   -117.897   -126.635    -27.586    174.871     94.280
      0.013    -98.924   -117.722   -126.541    -27.515    174.951     94.368
      0.014    -98.951   -117.547   -126.446    -27.444    175.030     94.457
      0.015    -98.979   -117.372   -126.352    -27.372    175.110     94.545
      0.016    -99.006   -117.197   -126.257    -27.300    175.189     94.634
      0.017    -99.033   -117.022   -126.162    -27.228    175.269     94.722
      0.018    -99.060   -116.847   -126.068    -27.156    175.349     94.811
      0.019    -99.087   -116.671   -125.973    -27.084    175.428     94.900
      0.020    -99.115   -116.496   -125.878    -27.012    175.508     94.989
      0.021    -99.141   -116.320   -125.783    -26.939    175.588     95.078
      0.022    -99.168   -116.145   -125.688    -26.866    175.668     95.167
      0.023    -99.195   -115.969   -125.593    -26.793    175.748     95.256
      0.024    -99.222   -115.793   -125.497    -26.720    175.827     95.345
      0.025    -99.249   -115.617   -125.402    -26.647    175.907     95.435
      0.026    -99.275   -115.441   -125.306    -26.574    175.987     95.524
      0.027    -99.302   -115.265   -125.211    -26.500    176.067     95.614
      0.028    -99.328   -115.089   -125.115    -26.427    176.147     95.704
      0.029    -99.355   -114.913   -125.019    -26.353    176.227     95.794
      0.030    -99.381   -114.737   -124.924    -26.279    176.307     95.884
      0.031    -99.407   -114.560   -124.828    -26.205    176.388     95.974
      0.032    -99.433   -114.384   -124.732    -26.130    176.468     96.064
      0.033    -99.459   -114.207   -124.635    -26.056    176.548     96.155
      0.034    -99.486   -114.031   -124.539    -25.981    176.628     96.245
      0.035    -99.511   -113.854   -124.443    -25.907    176.708     96.336
      0.036    -99.537   -113.677   -124.347    -25.832    176.789     96.426
      0.037    -99.563   -113.501   -124.250    -25.756    176.869     96.517
      0.038    -99.589   -113.324   -124.154    -25.681    176.949     96.608
      0.039    -99.614   -113.147   -124.057    -25.606    177.030     96.699
